Tweet,ID
"""Coworker has tested positive for COVID-19 and continues to report to work and/or family member of a coworker has tested positive for COVID-19 and the coworker continues to report to work.OtherEmployees being tested for COVID -19 some have tested positive at a earlier time and now someone else has been tested that is suspected COVID. Certain people have been told to quarantine and others that have  had """"direct"""" contact was not notified and being made to continue to work and not quarantined. This places families in danger. The company is not being transparent enough to allow workers to feel safe."" - Tru-Flex Stamping - Assembly in Edinburgh, IN",C-1592415
"""Not requiring customers riding the bus to wear facemasks."" - MITS (Muncie Indiana Transent in Muncie, IN",C-1592430
"""Employer not providing PPE to all employees.Employer not providing hand sanitizer.Employee tested positive for coronavirus. Employees were not notified until three days later."" - Marson International LLC in Elkhart, IN",C-1592452
"""Employer not enforcing social distancingEmployer not disinfecting/deep cleaning work placeEmployer not providing PPE such as gloves, masks, face shields, etc."" - Ed Martin Dodge Ram in Anderson, IN",C-1592467
"""Coworker has tested positive for COVID-19 and continues to report to work and/or family member of a coworker has tested positive for COVID-19 and the coworker continues to report to work.Employer not providing PPE such as gloves, masks, face shields, etc.Other: 1) being subjected to work in an unsafe work environment- limited access to PPE gear/health and safety concerns 2) failure to test patients presenting with covid-19 symptoms including sore throat, coughing, SOB, increased fatigue, 3) nondisclosure of covid-19 positive cases in CHC employees to reliant employees, 4) failure to properly report positive covid-19 exposures per CDC/state guidelines."" - Castleton Health Care Center in Indianapolis, IN",C-1592549
"""1.  Employer not enforcing social distancing.2.  Coworker has tested positive for COVID-19 and continues to report to work and/or family member of a coworker has      tested positive for COVID-19 and the coworker continues to report to work"" - Master Brand Cabinets in Ferdinand, IN",C-1593231
"""1.  Employer not enforcing social distancing.2.  Employer not disinfecting/deep cleaning work place.Other:There are 14 cases of COVID-19 in the past two weeks. They will not shut down the warehouse. There are 400 employees per shift. They are only providing masks. All employees work right next to each other."" - Chewy in Clayton, IN",C-1593240
"""1.  Employer not providing hand sanitizer.2.  Employer not enforcing social distancing.3.  Coworker has tested positive for COVID-19 and continues to report to work and/or family member of a coworker has tested positive for COVID-19 and the coworker continues to report to work.4.  Employer not disinfecting/deep cleaning work place.5.  Employer not providing PPE such as gloves, masks, face shields, etc.Other:They are allowing people to work with people having high temps and dont have the proper training for employees and supplies and cleaning to make sure everyone is safe. Also not letting employees know when they have been exposed."" - Amazon SDS8 in Watson, IN",C-1593265
"""Employer not enforcing social distancing.Coworker has tested positive for COVID-19 and continues to report to work and/or family member of a coworker has tested positive for COVID-19 and the coworker continues to report to work.Employer not providing PPE such as gloves, masks, face shields, etc.Other:Company posted policy requiring employees to check in with nurse and get checked by thermometer before working or be terminated on spot. No thermometers were used even though symptoms of virus was present with certain employees."" - Holsum Bakery of Fort in Fort Wayne, IN",C-1593327
"""Employer not enforcing social distancing.Other:The business is operating  and has been opened since Wednesday May 6, 2020 and they are not supposed be opened until Monday May 11, 2020 per the Governor. The employees are not wearing masks."" - SUN TAN CITY in Muncie, IN",C-1593336
"""1. Employees taking off masks while speaking on the phone. 2. There is no training for how to wear masks and how to clean properly. Employees touch their masks and faces. 3. They are wiping down carts with filthy rags and a spray bottle of disinfectant."" - Menards in Camby, IN",C-1593359
"""1. Employees taking off masks while speaking on the phone. 2. There is no training for how to wear masks and how to clean properly. Employees touch their masks and faces. 3. They are wiping down carts with filthy rags and a spray bottle of disinfectant."" - Menards in Greenwood, IN",C-1593372
"""Moving company, 6ft distance not being provided being forced to ride elbow to elbow to etown Kentucky, Cincinnati etc and I've brought it to his attention 3 times but he just thinks providing mask and gloves and hand sanitizer makes us not have to follow the 6ft distance. Two people in a moving truck 4ft distance or so and I haven't complained about that but he wants to put three employees elbow to elbow and when I bring it to his attention he says I'll have to tell unemployment that you are refusing to work and that he doesn't have time for recess.Employer not enforcing social distancing|Business operating even though business classified as nonessential|OtherIn my opinion if the military isn't essential to move I don't think anyone else is right now, but I still go to work when it's available, he's just not providing a 6ft distance"" - Madison Transfer and Storage in Du Pont, IN",C-1593374
"""The employees are not wearing masks while working with the public."" - Indy Honda in Southport, IN",C-1593414
"""Hospital forcing employees to work arond other individuals while they have symptoms."" - Decatur County Memorial Hospital in Greensburg, IN",C-1593439
"""Employees forced to work, even when they feel sick or have been confirmed to be ill."" - Shiel Sexton Company in Indianapolis, IN",C-1593467
"""Not utilizing standard precautions or infection, administration, and engineering controls to reduce exposure or infection rate including:1-Not assessing employees prior to work duties (taking temperature and signs or symptoms check of COVID-19).Not assessing clients/patient when initialing entering the house (taking temperature and signs or symptoms check of COVID-19).2-Lack of appropriate use of personal protective equipment until late April/ week of April 27th, 2020 including masks and gloves if needed.3-Lack of hand washing prior upon arrival (or cleaning/disinfecting/sanitation).4-No timely notification of employee or client exposure to COVID-19; no notification of negative/positive results to client or client's family (in this case tested April 16th with notification to the hospital (not client/client family/POA) until May 4th, 2020.5-No tracing of potentially exposed high-risk including employees and clients.In general, not following CDC, State Health Department, or OSHA guidelines.Would be curious to see proper quarantining policy/ measures or clinical procedures."" - Together Homecare of Columbus in Columbus, IN",C-1594129
"""There have been a couple of COVID-19 cases. They were informed that there was another case that was reported on 5/13. They are still keeping employees to work."" - MasterBrand Cabinets in Ferdinand, IN",C-1594155
"""Employer not enforcing social distancing.Employer not disinfecting/deep cleaning work place|OtherOther:An employee tested positive for coronavirus. They are not informing all employees of exposure to coronavirus. They have not shut down. It is unsafe for employees."" - Beck Toyota in Southport, IN",C-1594167
"""Employer not providing hand sanitizer.Employer not enforcing social distancing.Employer not providing PPE such as gloves, masks, face shields, etc."" - GEODIS Logisitics in Plainfield, IN",C-1594192
"""Coworker has tested positive for COVID-19 and continues to report to work and/or family member of a coworker has tested positive for COVID-19 and the coworker continues to report to work.Other: Employee with COVID positive household member is working with the public"" - American Rental in North Vernon, IN",C-1594204
"""Employer not enforcing social distancing.Coworker has tested positive for COVID-19 and continues to report to work and/or family member of a coworker has tested positive for COVID-19 and the coworker continues to report to work."" - Utilimaster in Bristol, IN",C-1594866
"""Employer not enforcing social distancing.Employer not disinfecting/deep cleaning work place.Employer not providing PPE such as gloves, masks, face shields, etc.I work in assembly in plant 22. Bathrooms have not been cleaned in days.  Same trash on floor in the same spot for 3 days.  Break room floor, same dirty spots for several days.  Making 6 foot markers on the lines to look like they are social distancing but when that line is on, everyone is on top of each other like normal.  Working on the same cabinet.  Telling us that it's the Indiana law that we have to use bleach water to sanitize our work area several times a day and if we don't follow this Indiana law then further action can and will be taken.  Giving out false information over our 3 positive COVID 19 cases."" - MasterBrand Cabinets in Ferdinand, IN",C-1594874
"""Employer not providing hand sanitizer.Employer not enforcing social distancing.Coworker has tested positive for COVID-19 and continues to report to work and/or family member of a coworker has tested positive for COVID-19 and the coworker continues to report to work.Employer not disinfecting/deep cleaning work place.Employer not providing PPE such as gloves, masks, face shields, etc.Other:people sick and we are all going to get it. They don't care. When you report that we are missing soap they say its not there department. Found cleaning people. I don't need to bring this home to my family just because they want to threaten us with a layoff if we keep claiming about what they are not doing. Please help.."" - Howmet Aerospace in La Porte, IN",C-1597305
"""Employer not enforcing social distancing.Employer not disinfecting/deep cleaning work place.OtherNot supposed to open until Stage 3 and is currently booking ice time for kids, no parents around, in groups of 20-30 from Illinois.  Place has not been deep cleaned. kids sit together on benches, hockey is a Contact sport.  Not supposed to be open!"" - Midwest Training and Ice in Dyer, IN",C-1597354
"""Employer not enforcing social distancing.Coworker has tested positive for COVID-19 and continues to report to work and/or family member of a coworker has tested positive for COVID-19 and the coworker continues to report to work.Employer not disinfecting/deep cleaning work place.OtherPerson exposed to someone who tested positive was the one handing out masks , still working after someone  tested positive, employer relying on employees to clean stations and bathrooms, someone who has family member who tested positive is still reporting to work."" - Keystone RV Company in Goshen, IN",C-1597356
"""Other:Employee tested positive for covid 19 .....They was informed of this , this morning . Others that work there was around him at a party .And we have been around a few of them . The supervisor that works there was at the party and he was even handing out masks to all employees..something needs to be done as far as sanitation to the whole place."" - Keystone RV Company in Goshen, IN",C-1597357
"""1. Employees are exposed to falls over six feet without proper fall protection methods.2. No caps are placed on protruding rerod.3. Audible alarms are not being used while crane operations are occurring.4. The crane is moving loads over employees.5. Employees are not wearing the proper foot protection.6. Employer is not using HEPA-filtered vacuums to control respirable crystalline silica. 7. Employees are not wearing face masks for COVID-19 protection when indoors.8. The construction job is not considered essential, under the Governor?s COVID-19 series of executive orders."" - Barton Malow Company Erickson in Lansing, MI",C-1585053
"""Employees are concerned about potential exposure to COVID-19. Employer provides personal protective equipment, but it may not be adequate."" - Pro Shield LLC Novi in Novi, MI",C-1594630
"""Today, May 13, automotive workers have returned to work at our tier 2 plant. Workers have been wearing face shields, but are not wearing an actual face covering/masks. A token handful of masks (maybe 8 of them) are hanging at an entrance, but there is no policy of mandatory mask wear. People are going to get sick."" - The Oakwood Group, Plant in Taylor, MI",C-1589255
"""1. Based on assembly type work on the line, employees are not able to stay at least six feet away from each other. 2. Social distancing is not being enforced in the lunch/break room.3. Only taking temperatures once per day may not be effective to identify symptomatic employees."" - JLM Manufacturing in Warren, MI",C-1591855
"""1. Employer is not enforcing requirement that employees wear cloth face masks per CDC guidelines to help prevent the spread of COVID-19.2. Social distancing between customers and employees in stores not enforced. Customers come up to counter and look at computer screen together with employee to find parts. (This item added after nonfomal letter sent)3. A worker at Burnsville location has a dry cough and was not sent home.  (This item added after nonformal letter sent)4. High touch areas are not frequently sanitized including employee restroom at Burnsville location. (This item added after nonfomal letter sent)5. Nonformal letter and employer response was not posted at locations listed in nonformal complaint. (This item added after nonfomal letter sent)"" - OReilly Auto Enterprises LLC in Burnsville, MN",C-1580897
"""1.  The employer has no Covid-19 safety plan or cleaning schedule for the lumber yard, lumber storage area, and delivery trucks.2.  The employer is not utilizing safe distancing for delivery drivers and yard workers.3.  The employer is not offering PPE to prevent the spread of the virus for delivery drivers and yard workers."" - Alexander Lumber Co in Owatonna, MN",C-1582269
"""1.  The employer is not providing proper personal protective equipment, such as respirators to employees exposed to persons with COVID-192.  The employer is not providing sterilizing or cleaning chemicals to employees working in areas they are exposed to persons with COVID-19."" - Minnesota Veterans Home in Minneapolis, MN",C-1591753
"""An employee was hospitalized with Covid-19."" - Department of Human Services in Minneapolis, MN",C-1591754
"""1.  People in the pharmacy are not wearing masks, gloves or complying with social distancing.2.  Pharmacy not enforcing CDC guidelines with patients. 3.  Employees working behind the counter in close proximity to each other."" - Alchemist General Inc dba in Saint Paul, MN",C-1591757
"""1.  There is no COVID-19 Preparedness Plan.  2.  No training on the way to put on and take off contaminated clothes and personal protective equipment between patients.3.  Inadequate number of disposable surgical hair covers and gowns to change after each patient.  Doctor,  assistants and hygienists wearing disposable surgical gowns all day through the office and some eating with them on in the breakroom lounge.4.  Patients are not getting a mask if they do not have one to wear while in the waiting room and are not doing social distancing.  5.  Almost out of hand sanitizer in some rooms.  "" - Almond Dental in Minneapolis, MN",C-1592563
"""1. Social distancing is not provided on lines where employees are working side by side in a very close area.2. Social distancing is not provided in the break rooms."" - Prime Pork LLC in Windom, MN",C-1593533
"""1. Outpatients in the interventiaonal radiology dept. are being treated in patient rooms as if they are positive for COVID-19, but the rooms are not being cleaned and disinfected as if they were used by a COVID-19 positive patients.2. Nursing staff in the CICU and Telemetry units are not provided with or using N95 respirators according to CDC guidelines when working within 6 feet of patients that are suspected or know to have COVID-19."" - Ridgeview Medical Center in Waconia, MN",C-1593534
"""Employees are required to reuse disposable masks that should not be reused."" - GAF Materials Corporation in Minneapolis, MN",C-1593543
"""1.  Employer is not enforcing CDC guidelines for social distancing.2.  Masks are required to be worn but policy is not enforced."" - Fulfillment Distribution Center Inc in Saint Cloud, MN",C-1594302
"""Employees exposed to COVID-19 are allowed to come to work with increased temperatures."" - Rochester Public Utilities in Rochester, MN",C-1594305
"""1.  Inadequate supply of cleaners/disinfectants and insufficient time allocated for employees to clean/disinfect high-touch surfaces in work areas where more than one employee is working.2.  Inadequate supply of hand sanitizer.3.  LP forklifts are operated frequently in the production area on second shift, exposing employees to carbon monoxide, even though company policy is to only use the forklifts in the warehouse.4.  BOB die cutting machine has live electrical equipment guarded with a cardboard box."" - BF Nelson Corp in Savage, MN",C-1594307
"""1.  Employees are not social distancing (maintaining 6 feet distance) per the Covid-19 memo put out on May 18, 2020.2.  The Covid-19  memo that was put out on May 18, 2020 is not being enforced by managers in the work areas.3.  Employees that need to work closer than 6 feet for long periods of time are not wearing masks to protect themselves or co-workers."" - Intercomp Co in Hamel, MN",C-1594308
"""1.  A line where an employee was removed and tested for Covid-19 (pending result)  isn't being disinfected and sanitized daily like other lines and subsequent shifts are working on this line.2.  Social distancing of 6 feet or more isn't being practiced at timeclocks at shift changes, on the lines at shift changes and on the lines during each shift.3.  Bathrooms, cafeterias, locker rooms aren't being monitored to be cleaned frequently."" - Hormel Foods Corporation in Austin, MN",C-1594922
"""1.  No safety committee at the facility. 2.  Social distancing is not being followed or enforced for Covid-19. 3.  Face coverings are not being worn or enforced for Covid-19. "" - Target Corporation in Minneapolis, MN",C-1596686
"""The company is not following CDC guidelines in regards to coronavirus (covid-19) in that employees exhibiting symptoms, such as fever and coughing, are not required to stay home. Employees are sent to be tested for the coronavirus at a clinic and then required to return to work pending the results of the test, generally received 2 days later. The employer has seen a large spike of employees with coronavirus recently."" - Sanderson Farms. Inc. in Bryan, TX",C-1592772
"""1) The pizza oven is broken and gives off a lot of smoke and gas when used to make pizzas. In the past, employees have complained of headaches due to this item.2) Employees are not provided adequate personal protective equipment while sanitizing the store for covid-19."" - Double Dave's Pizzaworks in New Braunfels, TX",C-1593661
"""(1) Employees were exposed to COVID-19 when a manager known to be positive with COVID-19 interacted with employees. (2) Employees are not provided with the proper PPE. "" - United States Postal Services in New Orleans, LA",C-1596395
"""Several cases of covid -19 have been reported in every department (Packing department, freshcut department, shipping and receiving, Product inspectors)."" - Delmonte Fresh Produce Co. in Dallas, TX",C-1584911
"""1. Employees are not provided with hot or tepid water for handwashing."" - Guttermaxx, LP in Houston, TX",C-1587793
"""1.  Interlocks were disabled/removed on all of the CNC machinery in the Back Shop.2.  Four employees were tested positive for COVID-19.  Employer did not disinfect building and did not provide personal protective equipment for employees."" - L B Pipe & in Magnolia, TX",C-1591989
"""1. Social distancing not enforced.  CDC recommendation2. No splash shields in front of the employees which are less than 3 ft facing. (Wingette Department, Filet department)3. Wearing masks in not enforced.4. Lack of screening program to workers before entry into the workplace."" - Pilgrim's Lufking Fresh Plant in Lufkin, TX",C-1592086
"""1. Employees have not been informed of the positive diagnosis of COVID-19 on other employees."" - Brookshire Brothers Store #272 in Coldspring, TX",C-1593018
"""At restaurant  - Employees are not provided COVID-19 personal protection such as face masks, hand sanitizer and prior to employees beginning their shifts their temperatures are not being checked with a  thermometer.  "" - Twin Peaks in Shenandoah, TX",C-1595398
"""No disinfection of patient room or public areas and work areas.No disinfectants available to employees. Several employees tested for Covid19; they are not notifying us of potential cases from employees and/or could be infecting other employees."" - Southeast Texas Ear Nose in Beaumont, TX",C-1577017
"""Complaint 1) The employer is not following OSHA guidelines for businesses to protect employees from and prevent the spread of the COVID-19 virus, to include but not limited to providing sanitizing materials, and enforcing the use of disinfecting and cleaning materials on common surfaces. A staff member tested positive for covid19. After reviewing camera footage, six people working near the infected person were quarantined. Other employees share high traffic/touch surfaces such as the  time clock, door knobs and door codes. Additionally, other staff members are being sent out to work at other locations exacerbating the spread."" - CSL Plasma Sugarland in Houston, TX",C-1594672
"""An employee was reported to be positive for COVID19 and was working in close proximity to other employees.  The employer has not implemented recommended control measures including distancing and systematic disinfection of common areas.  Food prep work involves close work by multiple employees in a small space without protective measures.  Sanitation procedures are not in effect in the work room and common areas.  Workers interacting with the public in close proximity and enter work room and common areas.Location:  Work room, food prep room, animal care.Reference: Occupational Safety & Health Act, Section 5.A.1, General Duty Clause."" - Houston SPCA in Houston, TX",C-1596130
"""1. Employer has not provided employees hand sanitizers, disinfecting wipes, or gloves against COVID-19.2. All supplies are locked in an office and only used for isolation patients, none are for the employees.Location: At the Facility"" - Heritage Center in Conway, AR",C-1568831
"""1.Employer does not have preventive measures in place for employees protection from COVID-19.  There are no mask, gloves, and no sanitizer.2. The facility itself is not being cleaned."" - CENTRAL MOLONEY INC. in Pine Bluff, AR",C-1575823
"""1. Employees are exposed to disease hazards because the plant was not cleaned after employees were diagnosed with Covid-19. This condition exposes employees to disease hazards."" - Frito Lay, Inc. in Jonesboro, AR",C-1577339
"""1. Employees are told to wear short sleeved hospital gowns as a PPE in COVID-19 isolation rooms. 2. Employees are required to use the same paper masks for weeks. The employer does not want to provide employees new paper face masks to protect them from COVID-19."" - Highland Health Care in Bella Vista, AR",C-1585026
"""Employer is requiring the use of mask mandatory, but are not providing any mask for the employees."" - Bryce Company in Searcy, AR",C-1588775
"""COVID-191.  Employer does not provide respirators, exposing employees to health hazards from chemicals and fumes (Toluene, MEG and TEA-explosive) while working at the plant.2.  Employer does not provide respirator training, medical evaluations and/or fit testing, exposing employees to health hazards from chemicals and fumes in plant.3.  Employer does not provide Hazardous Communication training to employees, exposing employees to health hazards on chemicals and fumes exposed to in plant.4.  Employer does not ensure that the catwalks that employees are required to walk conducting inspections have proper railings. (top, mid and toe boards)5.  Employer does not provided fall protection training for employees that have to climb stairs and walking catwalks that are 30-40 feet from  lower level to conduct inspections.6.  Employer does not provide fall protection to employees climbing stairs and walking catwalks that are 30-40 feet from lower level to conduct inspections. exposed to fall hazards over four (4) feet.7.  Employer does not ensure the catwalks are in good condition, when employees walk catwalks they bow and at times their foot will fall through, exposing employees to fall hazards over four (4) feet.8.  Employer does not provide fire extinguisher training, but requires employees to conduct regular inspections of all fire extinguishers on site.9.  Employees are exposed to health hazards from the ventilation system in facility not working properly to draw chemical smells and fumes out of facility.10.  Employer does not ensure that employees have been provided hand sanitizer, gloves, masks or visors, signs and distancing rules to protect employees from the virus."" - G4S Secure Solutions in Odessa, TX",C-1589493
"""Management is requiring officers to wash and reuse gloves, go into pods, contaminated with COVID-19, with no personal protective equipment/ gear and are exposing non-correction staff into COVID-19 contaminated pods."" - Otero County Prison Facility in Chaparral, NM",C-1589577
"""1) Being asked to use filter masks without proper training on their use.2) Not issuing proper PPE during Covid-19 pandemic."" - John Knox Village Home in Lees Summit, MO",C-1576446
"""1) Not using recommended social distancing guideline during COVID-19.2) Failing to provide workers with proper sick leave during COVID-19."" - TRACKER MARINE LLC in Lebanon, MO",C-1576601
"""Received complaint about a employee testing positive for Covid19 and also not following CDC guidelines on cleaning."" - Watco Mechanical, LLC DBA in Omaha, NE",C-1593055
"""1. Inadequate ventilation for welding fumes for employees working around robotic welders.2. Inadequate PPE supplied for welding fumes. NIOSH approved respirators are not supplied. 3. Social distancing not setup for employees for COVID-19 hazards.4. Employer does not have good practices in place to sanitize areas for COVID-19 hazards."" - CHALLENGE MANUFACTURING in Bridgeton, MO",C-1585501
"""An employee working in the Safety Office starting exhibiting symptoms of COVID-19. Safety Specialists working in the Safety Office were informed that they had worked closely with someone that had been tested for COVID-19 and the Specialists were relocated to another office while the Safety Office was cleaned. As of May 8th, 2020, employees have not been informed if the test came back positive or negative for COVID-19. Employees working in the Safety Office do not have access to appropriate PPE to protect themselves from COVID-19."" - U.S. POSTAL SERVICE in Saint Louis, MO",C-1586321
"""Complainant alleges:- The air conditioning at this location is not on. The inside of the building gets very warm and employees who wear facemasks are at risk of overheating. This alleged hazard is located at the Lowes on 1889 Wentzville Parkway, Wentzville, MO."" - LOWES in Wentzville, MO",C-1590109
"""Complainant alleges:1. Employees are not provided with enough hand soap, alcohol wipes, or hand sanitizer. 2. Employees are not following CDC's guidelines for social distancing.These hazards are located in the manufacturing area at 400 Biltmore Drive, Fenton, MO."" - ATLAS in Fenton, MO",C-1591016
"""1. People are not social distancing.2. They are insisting on workers getting into customers cars to perform tire service. This is extremely unsafe. There is nothing to keep us from being exposed to COVID-19.  All other Sam's Club tire dept are closed. Why are they exposing us like this. Hazard Location:Tire Dept"" - SAM'S CLUB #8251 in Saint Charles, MO",C-1591294
"""1.  Management permitted an employee to come to work all week, when he/she was exposed and/or living with a COVID patient.2.  Management did not take appropriate action to ensure employees' safety.LOCATION: Primarily the 2nd floor but not limited to other locations."" - AT&T CALL CENTER in Cape Girardeau, MO",C-1591437
"""Complainant alleges: For well over a week now there has been no working air or oven hood in the kitchen. It has also been very humid here. With no airflow there,  a body increases temperature rapidly as a person works. Everyone who works in the kitchen has been having to quckly retreat to the walk in freezer when feeling faint. Caseys has done a great job of responding to covid-19, setting up suitable new rules, but with the staff exshausted, dehydrated and pouring sweat, we are increasingly likey to skip over those covid 19 precautions, conciously or not. The thermostat has been saying 83 degrees pretty consistantly but I kmow we are trying to work with body temps over 100. They keep saying itll be fixed soon but I believe this is a much bigger deal than they do. Someone will get hurt eventually. The kitchen workers are the most effected and there are about 5 or 6 of them."" - CASY'S GENERAL STORE in Iberia, MO",C-1593812
"""Complainant alleges the following:1. Use of deteriorated sanitizer that fails PH level testing on prepared food surfaces and guest common areas.2. Failure to maintain safety guidelines as directed by local and regional government officials. Including proper distancing protocols and hand washing. 3. Violating occupancy limits during peak hours 7:00pm to 10:00pm.4. Hand washing stations provided do not provide hot water and multi function as dump sinks for dirty glassware and mop water.5. Kitchen staff are not required and have been observed without face mask while working with ready to eat foods.6. Employees including management drinking until intoxicated during service times.7. Employees are stretched thin across long hours without breaks maximizing cross contamination to guest and discomfort.8. Garage doors on store frontage allows for an open air environment within the food preparation areas. No air curtains are installed and pest come and go as they please. Including wild birds, rats/mice, pets, and various insects.Many of these hazards are concealed by hours designed to restrict the ability for government health officials oversight. "" - Llywelyn's Pub in Saint Louis, MO",C-1595197
"""Hazard: COVID-19: Fit testing, sanitization & CDC/OSHA guidelines not being followed. Location: Hospital."" - Saint John Hospital in Leavenworth, KS",C-1589437
"""Hazard: COVID-19 exposure.Location: Facility"" - USPS DBA Indian Creek in Overland Park, KS",C-1589540
"""Hazard: Not following OSHA & CDC guidelines for COVID-19.Location: Facility."" - Gunze Plastics & Engineering in Olathe, KS",C-1590122
"""Staff is being asked to reuse one time-use level 3 masks until they're soiled or damaged no matter how long they've been used."" - Saint Luke's South Primary in Overland Park, KS",C-1590404
"""Company is making employees purchase their own testing equipment to return to work, Digital thermometers and pulse oximeters.  1910.132(h)(1)"" - Camp Systems International in Wichita, KS",C-1593083
"""May 4th, 2020Health1) Employees that call into facility, due to elevated temperature and other symptoms (sore throat, dizziness, nausea, etc...) are told they must come to work.  Employees exhibiting these symptoms could result in Covid-19 infection of other employees in the facility."" - Care Initiatives DBA Odebolt in Odebolt, IA",C-1582644
"""1.  Improper cleaning and disinfecting at the end of the day.2.  Occupancy numbers for COVID aren't being followed.3.  No social distancing for clients when they are getting a service done.4.  Too many employees working at one time."" - SuperCuts in Dubuque, IA",C-1597098
"""For employees potentially exposed to COVID-19 infections:1. Where a hazard assessment has not been performed that accounts for necessary and required personal protective equipment and administrative controls, to include but not limited to gloves, respirators, aprons/suits, and glasses/face shields. (29 CFR 1910.132, 1910.133, 1910.134, 1910.138)2. Where personal protective equipment is not provided or not appropriate for the work environment. (29 CFR 1910.132, 1910.133, 1910.134, 1910.138)3. Where sanitation regarding housekeeping, washing facilities, and toilets are not maintained to prevent the spread of infection. (1910.141)"" - US Bank DBA US in Fargo, ND",C-1583750
"""For the employees exposed to struck by, COVID-19, and sanitation hazards.1. Where employees are required to ride in vehicles without the adequate number of seat belts.2. Where employees are not provided toilet facilities at job sites.3. Where a hazard assessment related to covid-19 exposure has not been performed that accounts for necessary and required personal protective equipment and administrative controls, to include but not limited to gloves, respirators, aprons/suits, and glasses/face shields. 1926.95"" - Dakota Fence in Bismarck, ND",C-1584264
"""For employees potentially exposed to COVID-19 infections:1. Where a hazard assessment has not been performed that accounts for necessary and required personal protective equipment and administrative controls, to include but not limited to gloves, respirators, aprons/suits, and glasses/face shields. (29 CFR 1910.132, 1910.133, 1910.134, 1910.138)2. Where personal protective equipment is not provided or not appropriate for the work environment. (29 CFR 1910.132, 1910.133, 1910.134, 1910.138)3. Where sanitation regarding housekeeping, washing facilities, and toilets are not maintained to prevent the spread of infection. (1910.141)"" - Hire Quest Direct in Fargo, ND",C-1584953
"""1) The employer does not provide, at no cost to employees the personal protective equipment that is required to perform their duties.  Contrary to 29 CFR 1910.132(h)(1).2) The employer does not ensure that affected employees can demonstrate an understanding of the training, specifically, how to properly don, doff, adjust and wear PPE, the limitations of the PPE, the proper care, maintenance, useful life and disposal of required PPE.  This training must be conducted in a language that the employee can understand.  Contrary to 29 CFR 1910.132(f)(2).3) Employees are potentially exposed to significant health hazards in that the employer has not implemented controls, enhanced sanitation nor provided training or education to prevent exposure to COVID-19.  Contrary to 5(a)(1) of the OSH Act of 1970."" - Dakota Cleaning in Brandon, SD",C-1590928
"""1) The employer has not instituted additional precautions/procedures/Personal Protective Equipment (PPE) for employees to assist in preventing employee exposure to the COVID-19 virus. Precautions/procedures to include, but not limited to, CDC/OSHA recommendations. Contrary to Section 5(a)(1) of the OSH Act of 1970."" - Silverado-Franlkin in Deadwood, SD",C-1592965
"""1. It was reported that the employer is not taking preventative measures to protect employees from COVID-19. It has been reported that the time clock, bathrooms, and door handles are not being cleaned and sanitized on a regular basis. Contrary to 29 CFR1910.141.2. It was reported that the employer is not taking preventative measures to protect employees from COVID-19. It was reported that hand sanitizer and sanitizing wipes are not being provided for employee use. Contrary to Section 5(a)(1) of the OSH Act. 3. It was reported that the employer is not taking preventative measures to protect employees from COVID-19. It was reported that the employer is requiring non-essential employees to work. Contrary to Section 5(a)(1) of the OSH Act. Updated Allegation:1. It was reported that an employee tested positive for COVID-19 and the employer has not informed other employees in the facility. Contrary to Section 5(a)(1) of the OSH Act."" - Appliance Factory & Mattress in Thornton, CO",C-1557478
"""1. Employees are exposed to health hazards. It was reported that the employer is not following the CDC?s recommendations for COVID-19. Employees are working in close proximity to each other (less than six feet) and numerous employees are coming to work sick. Contrary to Section 5(a)(1) of the OSH Act."" - Denver Processing, LLC in Denver, CO",C-1562160
"""1) It was reported that employees are potentially exposed to health hazards associated with COVID-19.  The employer has not enforced and implemented precautions such as preventing the co-mingling of employee personal belongings during check-in when entering the facility. This is contrary to 5(a)1 of the OSH Act and 29 CFR 1910.141."" - Safilo USA Inc. in Aurora, CO",C-1589294
"""1. Employees are potentially exposed to health hazards associated with COVID-19. It was reported that that the employer has not implemented precautions such as but not limited to social distancing and limiting the amount of employees inside the facility at a time. It was further reported that the headquarters building is small and cannot support 30 individuals 6 feet apart as per social distancing guidelines.  Contrary to Section 5(a)(1) of the OSH Act."" - Kenny Electric Service, Inc. in Denver, CO",C-1590198
"""Employees are potentially exposed to health hazards associated with COVID-19. It was reported that that the employer has not implemented precautions such as but not limited to social distancing, limiting amount of people in the workplace and informing employees of exposure. Contrary to 29 CFR 1910.132 and 29 CFR 1910.134 and Section 5(a)(1) of the OSH Act."" - Superior Farms in Denver, CO",C-1590473
"""Employees are potentially exposed to health hazards associated with COVID-19. It was reported that the employer has not implemented precautions such as but not limited to social distancing, PPE or training workers about the hazards of COVID-19. Contrary to Section 5(a)(1) of the OSH Act, 29 CFR 1910.132 and 29 CFR 1910.134."" - Medtronic Surgical Solutions in Boulder, CO",C-1590490
"""Employees are potentially exposed to health hazards associated with COVID-19 in the warehouse. It was reported that that the employer has not implemented precautions such as but not limited to social distancing, limiting amount of people inside the store at a time, PPE, or training workers about the hazards of COVID-19. It was further reported that in many instances warehouse employees are working side by side, truck drivers move about the facility without adhering to the guidelines, and that employees are told to take their own temperatures when arriving to work but many employees don't and/or simply record a false temperature. Contrary to Section 5(a)(1) of the OSH Act."" - Hunter Douglas in Broomfield, CO",C-1592214
